Data,Impr.
"qui., 1 de jan. de 2026",0
"sex., 2 de jan. de 2026",0
"sáb., 3 de jan. de 2026",0
"dom., 4 de jan. de 2026",0
"seg., 5 de jan. de 2026",0
"ter., 6 de jan. de 2026",6
"qua., 7 de jan. de 2026",130
"qui., 8 de jan. de 2026",122
"sex., 9 de jan. de 2026",94
"sáb., 10 de jan. de 2026",82
"dom., 11 de jan. de 2026",119
"seg., 12 de jan. de 2026",118
"ter., 13 de jan. de 2026",43
"qua., 14 de jan. de 2026",10
"qui., 15 de jan. de 2026",19
"sex., 16 de jan. de 2026",90
"sáb., 17 de jan. de 2026",85
"dom., 18 de jan. de 2026",104
"seg., 19 de jan. de 2026",120
"ter., 20 de jan. de 2026",27
"qua., 21 de jan. de 2026",4
"qui., 22 de jan. de 2026",1
"sex., 23 de jan. de 2026",0
"sáb., 24 de jan. de 2026",3
"dom., 25 de jan. de 2026",3
"seg., 26 de jan. de 2026",0
"ter., 27 de jan. de 2026",98
"qua., 28 de jan. de 2026",106
"qui., 29 de jan. de 2026",111
"sex., 30 de jan. de 2026",92
"sáb., 31 de jan. de 2026",76
"dom., 1 de fev. de 2026",62
"seg., 2 de fev. de 2026",56
"ter., 3 de fev. de 2026",39
"qua., 4 de fev. de 2026",89
"qui., 5 de fev. de 2026",46
"sex., 6 de fev. de 2026",76
"sáb., 7 de fev. de 2026",65
"dom., 8 de fev. de 2026",73
"seg., 9 de fev. de 2026",92
"ter., 10 de fev. de 2026",86
"qua., 11 de fev. de 2026",92
"qui., 12 de fev. de 2026",47
"sex., 13 de fev. de 2026",32
"sáb., 14 de fev. de 2026",4
"dom., 15 de fev. de 2026",2
"seg., 16 de fev. de 2026",5
"ter., 17 de fev. de 2026",0
"qua., 18 de fev. de 2026",0
"qui., 19 de fev. de 2026",43
"sex., 20 de fev. de 2026",140
"sáb., 21 de fev. de 2026",96
"dom., 22 de fev. de 2026",105
"seg., 23 de fev. de 2026",101
"ter., 24 de fev. de 2026",88
"qua., 25 de fev. de 2026",117
"qui., 26 de fev. de 2026",125
"sex., 27 de fev. de 2026",105
"sáb., 28 de fev. de 2026",87
"dom., 1 de mar. de 2026",65
"seg., 2 de mar. de 2026",49
"ter., 3 de mar. de 2026",41
"qua., 4 de mar. de 2026",96
"qui., 5 de mar. de 2026",76
"sex., 6 de mar. de 2026",51
"sáb., 7 de mar. de 2026",61
"dom., 8 de mar. de 2026",85
"seg., 9 de mar. de 2026",83
